id,company_name,tax
1,CÔNG TY TNHH SẢN XUẤT THƯƠNG MẠI THÀNH GIA FOOD,1602229744
2,CÔNG TY TNHH DỊCH VỤ VẬN TẢI VÀ DU LỊCH TRẦN THÁI,1702360894
3,CÔNG TY TNHH THUỶ SẢN KIM THÀNH,1702360911
4,CÔNG TY TNHH ĐÀO TẠO VÕ THUẬT TAEKWONDO KIÊN GIANG,1702360855
5,CÔNG TY TNHH NHA KHOA THẨM MỸ ĐƯỢC,1702360728
6,CÔNG TY TNHH TKY PHƯỚC HẢI,1702360608
7,CÔNG TY TNHH XE ĐIỆN THẢO HÀ,5000920285
8,CÔNG TY TNHH MTV TUẤN ANH WINDOW,5000920302
9,CÔNG TY TNHH NHỰA XANH QUYẾT TIẾN,5000920278
10,CÔNG TY TNHH ZEN V&D,5000919522
11,CÔNG TY TNHH THƯƠNG MẠI STN,5000918857
12,CÔNG TY TNHH CƠ ĐIỆN FTM HANOI,5000919674
13,CÔNG TY TNHH HÙNG THANH 222,5000920020
14,CÔNG TY TNHH MÁY NÔNG NGHIỆP HÀ GIANG,5100517231
15,CÔNG TY TNHH NHA KHOA LÊ GIA TUYÊN QUANG,5000920119
16,CÔNG TY TNHH SẢN XUẤT VÀ THƯƠNG MẠI ĐÁ TUẤN HIỆP,5000920006
17,CÔNG TY TNHH MỘT THANH VIÊN AN CHÂU,5100517087
18,CÔNG TY TNHH VÀNG BẠC THU NGA,5100517249
19,CÔNG TY TNHH CHÈ MINH NGỌC,5000920077
20,CÔNG TY TNHH MTV HẢI NGỌC 83,5000920052
21,CÔNG TY TNHH MỘT THÀNH VIÊN XÂY DỰNG TUẤN HƯỜNG,5000919917
22,CÔNG TY TNHH MTV VIỆT NAM HORIZON TRAVEL,5100514417
23,CÔNG TY CỔ PHẦN THƯƠNG MẠI DỊCH VỤ DU LỊCH BẮC SUM TRAVEL,5100514600
24,CÔNG TY TNHH TƯ VẤN ĐẦU TƯ VÀ XÂY DỰNG MINH QUÂN,5100515682
25,CÔNG TY TNHH THƯƠNG MẠI DỊCH VỤ H.T AN GIA PHÁT,1301169442
26,CÔNG TY TNHH KIM PEAK HOLDINGS,1301169971
27,CÔNG TY CỔ PHẦN XUẤT NHẬP KHẨU NÔNG SẢN SẠCH VĨNH LONG VIỆT NAM,1501169954
28,CÔNG TY TNHH GREEN FUEL HY TRẦN,2100714918
29,CÔNG TY TNHH QC FOOD,1301170021
30,CÔNG TY TNHH ĐẦU TƯ VÀ XD KHẢ THY,2100715460
31,CÔNG TY TNHH KDTM ĐẶNG PHÚC,2100715397
32,CÔNG TY TNHH TMDV XUÂN LÂM PHÁT THƯƠNG,2100715326
33,CÔNG TY TNHH XD VÀ VẬN CHUYỂN THÁI TƯ,2100715220
34,CÔNG TY TNHH XD VẬN CHUYỂN TY LOGISTICS,1301169876
35,CÔNG TY TNHH VẬN CHUYỂN XD NA LY,2100715213
36,CÔNG TY CỔ PHẦN NHÀ MÁY SẢN XUẤT - THƯƠNG MẠI - DỊCH VỤ NƯỚC TINH KHIẾT VINA,1301169315
37,CÔNG TY TNHH DV SX LỢI TÂY,2100714971
38,CÔNG TY TNHH TIẾP VẬN CONTAINER CẦN THƠ,1501169922
39,CÔNG TY TNHH TMDV HÀ LƯƠNG,1301169072
40,CÔNG TY TNHH TMDV VỆ VŨ,1501169538
41,CÔNG TY TNHH NGỌC TRANG - TÍN,1301169509
42,CÔNG TY TNHH TMDV THANH THUYỀN,2100714682
43,CÔNG TY TNHH TMDV ĐẠI TÂM KHẢI,1501169506
44,CÔNG TY TNHH THỦY SẢN HOA LỘC,1301169900
45,CÔNG TY TNHH VẬN CHUYỂN XÂY DỰNG HÀ TIẾNG,1501169979
46,CHI NHÁNH CÔNG TY TNHH KINH DOANH VÀ DỊCH VỤ THÀNH HƯNG - SHOWROOM THANH TÚ,314380708
47,CHI NHÁNH CÔNG TY TNHH BH TÂN THÀNH TIẾN – KHU VỰC PHƯỜNG BẾN TRE,313212877
48,CÔNG TY TNHH MTV THỨC ĂN THỦY SẢN BÌNH ĐĂNG,2100715284
49,CÔNG TY TNHH XD VÀ VẬN CHUYỂN ATUN,1301169844
50,CHI NHÁNH VĨNH PHÚC - CÔNG TY TNHH XE MÁY XE ĐIỆN NAM CƯỜNG,901111611
51,CÔNG TY TNHH THƯƠNG MẠI DỊCH VỤ VÀ PHÁT TRIỂN TÂM AN,12170246
52,CÔNG TY TNHH MTV DOÃN KIỀU NGUYỆT - CHI NHÁNH VĨNH PHÚC,3703327501
53,CHI NHÁNH CÔNG TY TNHH HANUELSUP DREAM FARM TẠI VĨNH PHÚC,110805173
54,VĂN PHÒNG ĐẠI DIỆN CÔNG TY TNHH DỊCH VỤ VÀ PHÁT TRIỂN CÔNG NGHỆ NAM KHÁNH,2500665133
55,CÔNG TY TNHH TIÊN PHONG VĨNH PHÚC,10600359
56,VĂN PHÒNG ĐẠI DIỆN CÔNG TY TNHH QHN GROUP,2500701455
57,CÔNG TY CỔ PHẦN THƯƠNG MẠI MANGO VIỆT NAM – CHI NHÁNH VĨNH PHÚC,105946436
58,CHI NHÁNH CÔNG TY TNHH DWN VIỆT NAM TẠI VĨNH PHÚC,107877379
59,VĂN PHÒNG ĐẠI DIỆN CÔNG TY CP ĐẦU TƯ PHÁT TRIỂN CÔNG NGHIỆP THÁI HOÀ TẠI VĨNH PHÚC,4601573108
60,CHI NHÁNH VĨNH PHÚC - CÔNG TY CỔ PHẦN TẬP ĐOÀN KẾ TOÁN HÀ NỘI,103648057
61,CÔNG TY CỔ PHẦN ĐÀO TẠO TƯ VẤN VÀ PHÁT TRIỂN ABA – CHI NHÁNH VĨNH PHÚC,105261305
